Handle,Post,Date
@DWaigera,us dark month transformer failure metres past mataara primary along mataaragatukuyu road really fair,21-Apr
@Mernmych,transformer blew power days mtr,21-Apr
@HusseinSkaka,hello kplc langata around deliverance area power since morning phase blackout transformer since phase power also scheduled power outage kindly address,21-Apr
@DebbyKemunto,hia blown transformer nyayo highrise draila odinga road response teamwe dark till,21-Apr
@Allano95,hi kindly assist dont power nyayo highrise blocks lights others dont meter number probably issue transformer,21-Apr
@mzee_wa_jiji,power bumala highway busia county region transformer replaced day us businesses require power,21-Apr
@essydarling,umoja c e area transformer imechapa blew power outtage send tech team,21-Apr
@GathuitaJames,kenyapowercare uthiru mukiri road power past days living alien land get transformer fixed asap monopoly stop switchoffkplc,21-Apr
@essydarling,umoja c e area lights transformer imechapa send technicians,21-Apr
@essydarling,kenyapowercare reporting power outtage around umoja c area transformer blown calling technicians come repair,21-Apr
@celeomolo,kenyapowercare long take replace transformer weeks already account mercidieu homes kikuyu,21-Apr
@maichjames,hello kenyapowercare power salem bahati maringo area nairobi next kenya evangelical lutheran church hq days since thursday seems problem transformer kplc team came looked didnt help meter number,21-Apr
@murithi_ronnie,ref urgent change transformer weeks without power kenyapowercare,21-Apr
@PatsyJa26446841,hello kenya power care ac power please sent technical team area problem know transformer trips power time please assist us customers,20-Apr
@sharmak26958529,transformer fixed days ago malfunctionedthis nd avenue th street kplc please look cant wait another days power come back,20-Apr
@charleskasavo,kenyapowercare reporting blackout githurai ym area happened like days ago due failed transformer please send engineers kindly help,20-Apr
@munasir_shariph,kenyapowercare hello kplc area transformer bursted min ago area black outkindly assist us emergency team thanks,20-Apr
@d_tongoi,kenyapowercare transformer made loud noise power ndoto road lavington acc,20-Apr
@Rasputin_24,kenyapowercare kenyapower hour without power told transformer would installed yesterday today night nothing,20-Apr
@MercieMulumba,kenyapowercare kenyapower good evening kplc care team pls kindly check power transformer ole ndume road sparking last night caused partial blackouts ole villaconsumate court etc house without power check area safe urgently,20-Apr
@VeronicahNgang4,polite us rd week power joke big radius adjacent githurai ruiru railway station high view area guys took transformer ruiru kplc roysambu km away humiliating trying contain kids power amid others,20-Apr
@Truthtalker254,kenyapowercare second time team coming correct transformer thindigua go bed frustrating,20-Apr
@VeronicahNgang4,kplc polite us rd week power joke big radius adjacent githurai ruiru railway station high view area guys took transformer ruiru kplc roysambu km away containing kids nopower amid collateral damages,20-Apr
@Kevwagate,kangaita center back us supplied transformer near st joseph catholic church kangaita dont huve supply yet,20-Apr
@angeltinda,kenyapowercare restore power muhuri road gichungo police post youve kept telling us transformer fault whole week line useless incompetent company,20-Apr
@tepeyian,kenyapowercare hi kindly check area havent power since transformer exploded meter number apartment building scenic view apartment thindigua kasarini area kiambu road land marks feruzi towers tsavo apartments st gregory church,20-Apr
@droduor,kenyapowercare av used k run generator ur transformer exploded small town called ugunja weeks ago whats happening,20-Apr
@Truthtalker254,kenyapowercare branch fallen power lines thindigua transformer blew reported early morning till dark,20-Apr
@angeltinda,kenyapowercare restore power muhuri road gichungo police post youve kept telling us transformer fault whole week line useless incompetent company,20-Apr
@timjacktk,kenyapowercare hi explosion transformers services us birds electrocuted currently power links also disconnected shown images kitengelakisaju mtr kindly assist,20-Apr
@harun_opiyo,kenyapowercare darkness angogo village masogo nyangoma ward muhoroni constituency three months die faulty transformer kindly assist anyangnyongo profojiendatom statehousekenya davischirchir williamsruto,20-Apr
@bundironald67,kenyapowercare good morning kindly note leads transformer located swamp area way harvard school lowly suspended mitre ground residential area please necessary,20-Apr
@winnie_kimaru,kenyapowercare good morning problem electricity utawala sorted transformer lights couple times plan day please lemme know lights today gone like yesterday whole day,20-Apr
@Mercedeskomp,since yesterday power highrise transformer next tree exploded acc number please fix,20-Apr
@Dan,kenyapowercare remember consumers kokuro junction kisiimigori road sony sugar company whose transformer number blown power last three weeks people suffering,20-Apr
@FredWakaba15,eagerly waiting interruptions gitiha gwa kariuki area githunguri kiambu installation transformer stolen month half ago,20-Apr
@Dan,kenyapowercare please help transformer number kokuro junction kisii migori road weeks people suffering sick elderly,20-Apr
@KaburaKen,diani southern palms electricity nearest transformer kenyapower send fully branded field van kplc staff name tags,19-Apr
@i_amaida,hello kenya powerhuku high rise mbagathi waytransformer imelipuka affected one blocksapparently block e kindly reach soon possible since affecting business,19-Apr
@MctrillixHolmez,bungoma county still blackout since yesterday apparently neighbour power line whole block town ranje area power transformer,19-Apr
@EricMugodoM,kenyapowercare faulty transformer removed last month yet replaced ruaraka told wakubwa ndio wanapiga wait homesand business without electricity rd march meter,19-Apr
@GathunaAram,kenyapowercare power since morning sigona area pada transformer,19-Apr
@_Kenmbugua,kenyapowercare twats past week weve power days stop overloading transformers othaya road fucks sake,19-Apr
@that_guy_evans,hello mine unique case kindly address kenyatta road kuna stima yes transformer ya bayside kenyatta road juja imesupply stima households hazina since yesterday around pm note transformer different outage,19-Apr
@geminivaghela,ac pls dont call power since last night pm reported last night also transformer corner mbaazi av vanga rd usually issue loud bang,19-Apr
@jamuri40,two issues village transformer blew last week response slow attempts address matter pseudo account conned us sent dm details pseudo account,17-Apr
@marymathesh,kangundo subcounty specifically matetani sublocationwe appliedcomplained thro writing power upgrade single phase three phase transformer two years line fruitsour markets businesses capsizingkindly work,17-Apr
@Mesheck_Theri,going week without transformer replacement kwani mumeamua aje kenya power,17-Apr
@WinnieMumb69381,lights kinoo since friday days much longer wait transformer get fixed,17-Apr
@nhwaweru,kenyapowercare kenyapower perrenial blackout kariuki drive days row faulty linetransformer along kariuki drive ruaka behind quickmart reprive ever get fixed meter complaint ref,17-Apr
@nhwaweru,kenyapowercare kenyapower perrenial power blackout days row faulty linetransformer along kariuki drive ruaka behind quickmart reprive ever get fixed meter complaint ref,17-Apr
